CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.016503	-0.002192	-0.003981	0.004545
0.016553	-0.002377	-0.004062	0.004706
0.016603	-0.002196	-0.004419	0.004935
0.016653	-0.002392	-0.004279	0.004902
0.016703	-0.002267	-0.004009	0.004605
0.016753	-0.002145	-0.004043	0.004577
0.016803	-0.002335	-0.004282	0.004877
0.016853	-0.002336	-0.004108	0.004726
0.016903	-0.002794	-0.004605	0.005387
0.016953	-0.001885	-0.004273	0.004670
0.017003	-0.002410	-0.003989	0.004661
0.017053	-0.002316	-0.004121	0.004727
0.017103	-0.002622	-0.003958	0.004748
0.017153	-0.002231	-0.003941	0.004529
0.017203	-0.002300	-0.003989	0.004604
0.017253	-0.002216	-0.004310	0.004846
0.017303	-0.001883	-0.004226	0.004627
0.017353	-0.002183	-0.003911	0.004479
0.017403	-0.001903	-0.004138	0.004555
0.017453	-0.001995	-0.004100	0.004560
0.017503	-0.002386	-0.004178	0.004811
0.017553	-0.002484	-0.004204	0.004883
0.017603	-0.002337	-0.004118	0.004735
0.017653	-0.002057	-0.004188	0.004666
0.017703	-0.002194	-0.004226	0.004762
0.017753	-0.002108	-0.004185	0.004686
0.017803	-0.001877	-0.004302	0.004693
0.017853	-0.002131	-0.003292	0.003921
0.017903	-0.002711	-0.003835	0.004696
0.017953	-0.002624	-0.004430	0.005149
0.018003	-0.002287	-0.004525	0.005070
0.018053	-0.002406	-0.004471	0.005077
0.018103	-0.001926	-0.004152	0.004577
0.018153	-0.002161	-0.004170	0.004697
0.018203	-0.001860	-0.004195	0.004589
0.018253	-0.002223	-0.004067	0.004635
0.018303	-0.002383	-0.003918	0.004586
0.018353	-0.002542	-0.003938	0.004688
0.018403	-0.002670	-0.004348	0.005102
0.018453	-0.002208	-0.004288	0.004823
0.018503	-0.002520	-0.003743	0.004512
0.018553	-0.002013	-0.004418	0.004855
0.018603	-0.002686	-0.003695	0.004568
0.018653	-0.002417	-0.003730	0.004445
0.018703	-0.002392	-0.004449	0.005051
0.018753	-0.002294	-0.004268	0.004846
0.018803	-0.001945	-0.004168	0.004599
0.018853	-0.002292	-0.004234	0.004815
0.018903	-0.001877	-0.004013	0.004431
0.018953	-0.002312	-0.004191	0.004787
0.019003	-0.002139	-0.003682	0.004258
0.019053	-0.002509	-0.003658	0.004435
0.019103	-0.001891	-0.003803	0.004248
0.019153	-0.002136	-0.003791	0.004351
0.019203	-0.002359	-0.004123	0.004750
0.019253	-0.002496	-0.003939	0.004663
0.019303	-0.002061	-0.004334	0.004799
0.019353	-0.002140	-0.004225	0.004736
0.019403	-0.002032	-0.003995	0.004482
0.019453	-0.002705	-0.004209	0.005004
0.019503	-0.002051	-0.003956	0.004456
0.019553	-0.002105	-0.003645	0.004210
0.019603	-0.002132	-0.003846	0.004398
0.019653	-0.001953	-0.003884	0.004347
0.019703	-0.001799	-0.003565	0.003994
0.019753	-0.002285	-0.004288	0.004858
0.019803	-0.002028	-0.003666	0.004189
0.019853	-0.002106	-0.003682	0.004242
0.019903	-0.002416	-0.003973	0.004649
0.019953	-0.001832	-0.003962	0.004365
0.020003	-0.002374	-0.003994	0.004647
0.020053	-0.001943	-0.003690	0.004170
0.020103	-0.002341	-0.003746	0.004417
0.020153	-0.001666	-0.003908	0.004248
0.020203	-0.002067	-0.004228	0.004706
0.020253	-0.001887	-0.004062	0.004479
0.020303	-0.001495	-0.004154	0.004415
0.020353	-0.002043	-0.003750	0.004270
0.020403	-0.002123	-0.003877	0.004420
0.020453	-0.002313	-0.004183	0.004780
0.020503	-0.001979	-0.003934	0.004404
0.020553	-0.002278	-0.003866	0.004487
0.020603	-0.002442	-0.004309	0.004953
0.020653	-0.002046	-0.003824	0.004337
0.020703	-0.001972	-0.004069	0.004521
0.020753	-0.001882	-0.003624	0.004084
0.020803	-0.002323	-0.003662	0.004336
0.020853	-0.002398	-0.003880	0.004562
0.020903	-0.002012	-0.003588	0.004114
0.020953	-0.001930	-0.004182	0.004606
0.021003	-0.001743	-0.003918	0.004288
0.021053	-0.001930	-0.003820	0.004280
0.021103	-0.002012	-0.003531	0.004064
0.021153	-0.002418	-0.003987	0.004663
0.021203	-0.002277	-0.003452	0.004135
